[0.00 -> 2.00]  Alhamdulillah
[4992.64 -> 4995.24]  I'm going to give you a full meal.
[4995.24 -> 4997.36]  But imagine when you get there, there's
[4997.36 -> 5002.12]  like one slice of pizza, there's one slice of watermelon,
[5002.12 -> 5005.94]  There's one, a couple of crisps.
[5005.94 -> 5007.94]  Not crisp packets, crisps, yeah?
[5008.90 -> 5010.58]  And imagine you're looking at me and saying,
[5010.58 -> 5012.06]  hold on a sec, you said you were gonna give me
[5012.06 -> 5014.98]  like a full meal and you've only given me bits.
[5015.94 -> 5017.06]  That's what that's like.
[5017.06 -> 5020.70]  As in if you, the book is part of the meal.
[5020.70 -> 5022.58]  The scholar is part of the meal.
[5022.58 -> 5024.30]  The vicar is part of the meal.
[5024.30 -> 5027.66]  But you haven't had a chef prepare the meal for you
[5027.66 -> 5029.54]  to give you the full meal.
[5029.54 -> 5031.58]  So what this course is, the six week course,
[5031.58 -> 5034.34]  It's like the chef cooked the meal for you,
[5034.34 -> 5037.06]  so you can enjoy it, but you get the full meal.
[5037.06 -> 5038.80]  You don't get just bits and pieces.
[5038.80 -> 5040.26]  So like I said, you can do it yourself,
[5040.26 -> 5041.94]  but then you'll only have,
[5041.94 -> 5044.06]  even a chef could try to make a meal.
[5044.06 -> 5046.02]  If he only has ingredients,
[5046.02 -> 5047.56]  he might not know how to put it together.
[5047.56 -> 5050.34]  So he needs a master chef, not the program,
[5050.34 -> 5054.14]  but like an actual master chef to teach him how to put
[5054.14 -> 5056.18]  the meal together to enjoy it.
[5056.18 -> 5057.24]  So that's what the teachers do.
[5057.24 -> 5058.50]  That's what the course does.
[5058.50 -> 5059.60]  It brings it all together.
[5059.60 -> 5063.20]  That's why it gives you the full roadmap.
[5063.20 -> 5065.90]  A roadmap is A to Z, start to finish.
[5066.84 -> 5068.40]  Where you have parts of the puzzle,
[5068.40 -> 5069.32]  that's parts of the puzzle,
[5069.32 -> 5071.24]  but you need someone to put it all together,
[5071.24 -> 5073.98]  and then you can accelerate.
[5073.98 -> 5076.52]  But there's no problem with doing those things as well.
[5076.52 -> 5077.48]  They're beneficial.
[5077.48 -> 5079.48]  They're actually, it comes back to
[5080.96 -> 5082.64]  one of the diagrams I showed you,
[5082.64 -> 5084.96]  but a lot of those things that you mentioned,
[5084.96 -> 5089.38]  Islamic lectures, dhikr, they're very good,
[5089.38 -> 5091.22]  but they're actually the start of the ladder.
[5091.22 -> 5094.62]  If you're climbing the ladder to reach the pleasure of Allah,
[5094.62 -> 5096.66]  it's the start of the ladder.
[5096.66 -> 5097.90]  It's at the bottom.
[5097.90 -> 5100.06]  That means it's good, it's the first step,
[5100.06 -> 5102.30]  but you can't go higher than the first step
[5102.30 -> 5103.90]  if you just stick to those things.
[5103.90 -> 5106.30]  You need to keep climbing and you need a mentor,
[5106.30 -> 5107.38]  you need someone to show you,
[5107.38 -> 5109.80]  you need someone to help you with your bad habits.
[5109.80 -> 5110.64]  Because reading a book,
[5110.64 -> 5111.74]  does it help you with your bad habits?
[5111.74 -> 5112.86]  It might give you knowledge,
[5112.86 -> 5114.54]  but it doesn't give you practice.
[5114.54 -> 5116.96]  Doing dhikr by yourself, it feels good,
[5116.96 -> 5118.34]  but it's motivation,
[5118.34 -> 5121.94]  but it's not, it's like you keep putting fuel in your car,
[5121.94 -> 5124.14]  but you don't drive your car.
[5124.14 -> 5125.30]  So fuel in the car is good,
[5125.30 -> 5127.22]  but it's useless if you don't drive your car.
[5127.22 -> 5129.46]  Dhikr is good, but if that's all you do,
[5129.46 -> 5132.02]  and some people only do Dhikr, it's true.
[5132.02 -> 5134.34]  They think only Dhikr will solve their problems.
[5134.34 -> 5135.62]  It doesn't.
[5135.62 -> 5138.58]  Many people then tell you it doesn't solve their problems
[5138.58 -> 5141.62]  because they haven't gone out to, they haven't,
[5141.62 -> 5145.54]  Dhikr comes, my teachers teach me Dhikr and Amal.
[5145.54 -> 5148.32]  Dhikr and action, good action.
[5148.32 -> 5149.40]  and
[5149.40 -> 5156.84]  If you look at surah asr gives us the perfect formula. It's just it's literally like I think three or four verses
[5157.58 -> 5163.30]  But basically Allah says while asr by time I was gonna understand you. It's my money while asr
[5163.82 -> 5168.98]  Allah swears by time. It's a very very valuable thing. Your time is very very valuable
[5170.58 -> 5173.84]  While asr in in some of the fee wholesome
[5174.70 -> 5176.10]  Yeah, so
[5176.10 -> 5182.98]  Verily, without doubt, man is in loss. You're already, you're in a bad place to start with. You're at disadvantage.
[5184.10 -> 5185.14]  Accept.
[5187.94 -> 5194.82]  Accept those who believe and do good deeds, right? So belief is not just sufficient. You have to do good deeds as well.
[5200.98 -> 5205.22]  And those who call each other to truth and those who call each other to patience.
[5206.10 -> 5208.42]  That all ties into what we've just talked about.
[5208.42 -> 5211.54]  To call each other to truth, that's the prophetic mission.
[5211.54 -> 5214.90]  Call each other to patience, control your tongue.
[5214.90 -> 5217.26]  What we just talked about, protecting your tongue,
[5217.26 -> 5218.94]  building good character.
[5218.94 -> 5222.06]  This is all sort of, also outlines it for us.
[5222.06 -> 5224.70]  But again, what I've talked to you about today,
[5224.70 -> 5227.06]  it just shows you how to achieve it.
[5227.06 -> 5228.30]  But you need a teacher.
[5228.30 -> 5231.66]  So the main thing is Islam is a living tradition.
[5231.66 -> 5235.62]  You mainly need teachers to teach you how to progress.
[5235.62 -> 5237.58]  So these classes that we have every week,
[5237.58 -> 5239.18]  it's like a living, you know,
[5239.18 -> 5241.06]  I've benefited from my living teachers.
[5241.06 -> 5242.42]  I'm here as a living teacher,
[5243.50 -> 5246.32]  like sitting here, just delivering this.
[5246.32 -> 5248.94]  If you just learn it yourself from a book,
[5248.94 -> 5250.58]  you can watch it online as well.
[5250.58 -> 5253.02]  But the benefit of being in person is you can ask questions,
[5253.02 -> 5254.62]  you can benefit.
[5254.62 -> 5256.98]  So there's always slightly more beneficial,
[5259.02 -> 5262.12]  not slightly, a lot more beneficial being in person.
[5262.12 -> 5264.78]  And obviously we stream for those who can't make it
[5264.78 -> 5269.18]  Person as well. That's and you can share it with your families as well. We put it on the bus up
[5269.18 -> 5273.90]  We can share it alhamdulillah, and we've gone on for quite a long time today, but it was a special presentation today
[5273.90 -> 5276.00]  That's why I want to spend a proper time
[5276.00 -> 5281.62]  So I'm gonna and I'm gonna end the stream here and then inshallah we can answer the other questions as well after
[5283.14 -> 5285.14]  Subhanaka allama
[5287.14 -> 5289.14]  Africa on a tube like
[5289.14 -> 5294.26]  alhamdulillahi rabbil alameen wa salatu wa salamu ala muhammad wa ala alihi wa sahbihi wa jameen
[5294.26 -> 5296.26]  albillah min ash-tanjim min ash-rahmanin
[5296.26 -> 5298.10]  rabbana atina fil dunya hasna
[5298.10 -> 5300.58]  wafil akhiratu hasna wakina adhab al-nab
[5300.58 -> 5303.46]  allahumma taqabil minna inna ka anta al-sameen al-aneeb
[5303.46 -> 5305.70]  wa tuba alayna ya arhamat raheemin
